=== Download dependencies ===
=== Run unit and integration tests ===
ok  	github.com/cli/cli/v2/api	1.347s
ok  	github.com/cli/cli/v2/cmd/gen-docs	1.918s
?   	github.com/cli/cli/v2/cmd/gh	[no test files]
ok  	github.com/cli/cli/v2/context	1.031s
ok  	github.com/cli/cli/v2/git	52.704s
ok  	github.com/cli/cli/v2/internal/agents	1.029s
ok  	github.com/cli/cli/v2/internal/authflow	1.029s
?   	github.com/cli/cli/v2/internal/barista/observability	[no test files]
?   	github.com/cli/cli/v2/internal/browser	[no test files]
?   	github.com/cli/cli/v2/internal/build	[no test files]
ok  	github.com/cli/cli/v2/internal/ci	1.031s
ok  	github.com/cli/cli/v2/internal/codespaces	1.048s
ok  	github.com/cli/cli/v2/internal/codespaces/api	2.356s
ok  	github.com/cli/cli/v2/internal/codespaces/connection	1.107s
ok  	github.com/cli/cli/v2/internal/codespaces/portforwarder	1.515s
ok  	github.com/cli/cli/v2/internal/codespaces/rpc	1.108s
?   	github.com/cli/cli/v2/internal/codespaces/rpc/codespace	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/jupyter	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/ssh	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/test	[no test files]
--- FAIL: TestMigrationWriteErrors (0.00s)
    --- FAIL: TestMigrationWriteErrors/failure_to_write_hosts (0.00s)
        migrate_test.go:217: 
            	Error Trace:	/app/internal/config/migrate_test.go:217
            	Error:      	An error is expected but got nil.
            	Test:       	TestMigrationWriteErrors/failure_to_write_hosts
    --- FAIL: TestMigrationWriteErrors/failure_to_write_config (0.00s)
        migrate_test.go:217: 
            	Error Trace:	/app/internal/config/migrate_test.go:217
            	Error:      	An error is expected but got nil.
            	Test:       	TestMigrationWriteErrors/failure_to_write_config
FAIL
FAIL	github.com/cli/cli/v2/internal/config	0.151s
ok  	github.com/cli/cli/v2/internal/config/migration	1.038s
ok  	github.com/cli/cli/v2/internal/docs	1.340s
ok  	github.com/cli/cli/v2/internal/featuredetection	1.053s
ok  	github.com/cli/cli/v2/internal/flock	1.031s
?   	github.com/cli/cli/v2/internal/gh	[no test files]
?   	github.com/cli/cli/v2/internal/gh/ghtelemetry	[no test files]
?   	github.com/cli/cli/v2/internal/gh/mock	[no test files]
ok  	github.com/cli/cli/v2/internal/ghcmd	1.338s
ok  	github.com/cli/cli/v2/internal/ghinstance	1.043s
ok  	github.com/cli/cli/v2/internal/ghrepo	1.038s
?   	github.com/cli/cli/v2/internal/keyring	[no test files]
ok  	github.com/cli/cli/v2/internal/licenses	1.032s
ok  	github.com/cli/cli/v2/internal/prompter	5.387s
?   	github.com/cli/cli/v2/internal/run	[no test files]
ok  	github.com/cli/cli/v2/internal/safepaths	1.025s
ok  	github.com/cli/cli/v2/internal/skills/discovery	1.114s
ok  	github.com/cli/cli/v2/internal/skills/frontmatter	1.039s
ok  	github.com/cli/cli/v2/internal/skills/installer	1.092s
ok  	github.com/cli/cli/v2/internal/skills/lockfile	1.055s
ok  	github.com/cli/cli/v2/internal/skills/registry	1.041s
ok  	github.com/cli/cli/v2/internal/skills/source	1.037s
ok  	github.com/cli/cli/v2/internal/tableprinter	1.041s
ok  	github.com/cli/cli/v2/internal/telemetry	1.110s
ok  	github.com/cli/cli/v2/internal/text	1.041s
ok  	github.com/cli/cli/v2/internal/update	1.368s
ok  	github.com/cli/cli/v2/internal/zip	1.047s
?   	github.com/cli/cli/v2/pkg/cmd/accessibility	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/actions	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task	1.316s
