ok  	github.com/cli/cli/v2/api	1.185s
ok  	github.com/cli/cli/v2/cmd/gen-docs	1.817s
?   	github.com/cli/cli/v2/cmd/gh	[no test files]
ok  	github.com/cli/cli/v2/context	1.030s
# github.com/cli/cli/v2/pkg/cmd/codespace [github.com/cli/cli/v2/pkg/cmd/codespace.test]
pkg/cmd/codespace/select_test.go:48:26: undefined: testSelectApiMock
ok  	github.com/cli/cli/v2/git	53.166s
ok  	github.com/cli/cli/v2/internal/agents	1.030s
ok  	github.com/cli/cli/v2/internal/authflow	1.030s
?   	github.com/cli/cli/v2/internal/barista/observability	[no test files]
?   	github.com/cli/cli/v2/internal/browser	[no test files]
?   	github.com/cli/cli/v2/internal/build	[no test files]
ok  	github.com/cli/cli/v2/internal/ci	1.029s
ok  	github.com/cli/cli/v2/internal/codespaces	1.044s
ok  	github.com/cli/cli/v2/internal/codespaces/api	2.329s
ok  	github.com/cli/cli/v2/internal/codespaces/connection	1.123s
ok  	github.com/cli/cli/v2/internal/codespaces/portforwarder	1.608s
ok  	github.com/cli/cli/v2/internal/codespaces/rpc	1.109s
?   	github.com/cli/cli/v2/internal/codespaces/rpc/codespace	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/jupyter	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/ssh	[no test files]
?   	github.com/cli/cli/v2/internal/codespaces/rpc/test	[no test files]
--- FAIL: TestMigrationWriteErrors (0.00s)
    --- FAIL: TestMigrationWriteErrors/failure_to_write_hosts (0.00s)
        migrate_test.go:217:
            	Error Trace:	/app/internal/config/migrate_test.go:217
            	Error:      	An error is expected but got nil.
            	Test:       	TestMigrationWriteErrors/failure_to_write_hosts
    --- FAIL: TestMigrationWriteErrors/failure_to_write_config (0.00s)
        migrate_test.go:217:
            	Error Trace:	/app/internal/config/migrate_test.go:217
            	Error:      	An error is expected but got nil.
            	Test:       	TestMigrationWriteErrors/failure_to_write_config
FAIL
FAIL	github.com/cli/cli/v2/internal/config	0.164s
ok  	github.com/cli/cli/v2/internal/config/migration	1.036s
ok  	github.com/cli/cli/v2/internal/docs	1.242s
ok  	github.com/cli/cli/v2/internal/featuredetection	1.058s
ok  	github.com/cli/cli/v2/internal/flock	1.027s
?   	github.com/cli/cli/v2/internal/gh	[no test files]
?   	github.com/cli/cli/v2/internal/gh/ghtelemetry	[no test files]
?   	github.com/cli/cli/v2/internal/gh/mock	[no test files]
ok  	github.com/cli/cli/v2/internal/ghcmd	1.350s
ok  	github.com/cli/cli/v2/internal/ghinstance	1.032s
ok  	github.com/cli/cli/v2/internal/ghrepo	1.020s
?   	github.com/cli/cli/v2/internal/keyring	[no test files]
ok  	github.com/cli/cli/v2/internal/licenses	1.030s
ok  	github.com/cli/cli/v2/internal/prompter	4.683s
?   	github.com/cli/cli/v2/internal/run	[no test files]
ok  	github.com/cli/cli/v2/internal/safepaths	1.028s
ok  	github.com/cli/cli/v2/internal/skills/discovery	1.101s
ok  	github.com/cli/cli/v2/internal/skills/frontmatter	1.033s
ok  	github.com/cli/cli/v2/internal/skills/installer	1.060s
ok  	github.com/cli/cli/v2/internal/skills/lockfile	1.045s
ok  	github.com/cli/cli/v2/internal/skills/registry	1.037s
ok  	github.com/cli/cli/v2/internal/skills/source	1.034s
ok  	github.com/cli/cli/v2/internal/tableprinter	1.034s
ok  	github.com/cli/cli/v2/internal/telemetry	1.097s
ok  	github.com/cli/cli/v2/internal/text	1.038s
ok  	github.com/cli/cli/v2/internal/update	1.296s
ok  	github.com/cli/cli/v2/internal/zip	1.030s
?   	github.com/cli/cli/v2/pkg/cmd/accessibility	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/actions	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task	1.304s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/capi	1.059s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/create	1.214s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/list	1.264s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/shared	1.509s
ok  	github.com/cli/cli/v2/pkg/cmd/agent-task/view	1.267s
?   	github.com/cli/cli/v2/pkg/cmd/alias	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/alias/delete	1.037s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/imports	1.057s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/list	1.044s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/set	1.078s
ok  	github.com/cli/cli/v2/pkg/cmd/alias/shared	1.030s
ok  	github.com/cli/cli/v2/pkg/cmd/api	1.372s
?   	github.com/cli/cli/v2/pkg/cmd/attestation	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/api	4.013s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact	1.073s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact/digest	1.033s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/artifact/oci	1.056s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/auth	1.033s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/download	1.156s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/inspect	5.072s
?   	github.com/cli/cli/v2/pkg/cmd/attestation/io	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/attestation/test	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/attestation/test/data	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/trustedroot	1.084s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/verification	27.905s
ok  	github.com/cli/cli/v2/pkg/cmd/attestation/verify	26.455s
?   	github.com/cli/cli/v2/pkg/cmd/auth	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/auth/gitcredential	1.040s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/login	1.096s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/logout	1.109s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/refresh	1.098s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/setupgit	1.050s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/shared	1.047s
?   	github.com/cli/cli/v2/pkg/cmd/auth/shared/contract	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/auth/shared/gitcredentials	1.161s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/status	1.128s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/switch	1.093s
ok  	github.com/cli/cli/v2/pkg/cmd/auth/token	1.058s
ok  	github.com/cli/cli/v2/pkg/cmd/browse	1.097s
?   	github.com/cli/cli/v2/pkg/cmd/cache	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/cache/delete	1.053s
ok  	github.com/cli/cli/v2/pkg/cmd/cache/list	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/cache/shared	1.031s
FAIL	github.com/cli/cli/v2/pkg/cmd/codespace [build failed]
ok  	github.com/cli/cli/v2/pkg/cmd/completion	1.039s
?   	github.com/cli/cli/v2/pkg/cmd/config	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/config/clear-cache	1.039s
ok  	github.com/cli/cli/v2/pkg/cmd/config/get	1.045s
ok  	github.com/cli/cli/v2/pkg/cmd/config/list	1.039s
ok  	github.com/cli/cli/v2/pkg/cmd/config/set	1.058s
ok  	github.com/cli/cli/v2/pkg/cmd/copilot	1.098s
ok  	github.com/cli/cli/v2/pkg/cmd/extension	7.688s
ok  	github.com/cli/cli/v2/pkg/cmd/extension/browse	1.278s
ok  	github.com/cli/cli/v2/pkg/cmd/factory	1.303s
?   	github.com/cli/cli/v2/pkg/cmd/gist	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/gist/clone	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/create	1.055s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/delete	1.067s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/edit	1.150s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/list	1.086s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/rename	1.042s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/shared	1.030s
ok  	github.com/cli/cli/v2/pkg/cmd/gist/view	1.346s
?   	github.com/cli/cli/v2/pkg/cmd/gpg-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/add	1.045s
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/delete	1.043s
ok  	github.com/cli/cli/v2/pkg/cmd/gpg-key/list	1.037s
?   	github.com/cli/cli/v2/pkg/cmd/issue	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/issue/argparsetest	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/issue/close	1.285s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/comment	1.297s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/create	1.390s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/delete	1.221s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/develop	1.305s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/edit	1.286s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/list	1.273s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/lock	1.264s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/pin	1.247s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/reopen	1.261s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/shared	1.260s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/status	1.301s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/transfer	1.232s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/unpin	1.256s
ok  	github.com/cli/cli/v2/pkg/cmd/issue/view	1.384s
ok  	github.com/cli/cli/v2/pkg/cmd/label	1.094s
?   	github.com/cli/cli/v2/pkg/cmd/licenses	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/org	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/org/list	1.051s
?   	github.com/cli/cli/v2/pkg/cmd/pr	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/pr/checkout	1.322s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/checks	1.250s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/close	1.255s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/comment	1.256s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/create	1.500s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/diff	1.275s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/edit	1.337s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/list	1.252s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/merge	1.297s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/ready	1.212s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/reopen	1.266s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/revert	1.270s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/review	1.259s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/shared	1.274s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/status	1.309s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/update-branch	1.294s
ok  	github.com/cli/cli/v2/pkg/cmd/pr/view	1.377s
?   	github.com/cli/cli/v2/pkg/cmd/preview	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/preview/prompter	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/project	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/project/close	1.105s
ok  	github.com/cli/cli/v2/pkg/cmd/project/copy	1.098s
ok  	github.com/cli/cli/v2/pkg/cmd/project/create	1.066s
ok  	github.com/cli/cli/v2/pkg/cmd/project/delete	1.112s
ok  	github.com/cli/cli/v2/pkg/cmd/project/edit	1.125s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-create	1.150s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-delete	1.038s
ok  	github.com/cli/cli/v2/pkg/cmd/project/field-list	1.131s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-add	1.148s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-archive	1.223s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-create	1.131s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-delete	1.110s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-edit	1.120s
ok  	github.com/cli/cli/v2/pkg/cmd/project/item-list	1.117s
ok  	github.com/cli/cli/v2/pkg/cmd/project/link	1.101s
ok  	github.com/cli/cli/v2/pkg/cmd/project/list	1.125s
ok  	github.com/cli/cli/v2/pkg/cmd/project/mark-template	1.105s
?   	github.com/cli/cli/v2/pkg/cmd/project/shared/client	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/project/shared/format	1.025s
ok  	github.com/cli/cli/v2/pkg/cmd/project/shared/queries	1.172s
ok  	github.com/cli/cli/v2/pkg/cmd/project/unlink	1.097s
ok  	github.com/cli/cli/v2/pkg/cmd/project/view	1.359s
?   	github.com/cli/cli/v2/pkg/cmd/release	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/release/create	1.165s
ok  	github.com/cli/cli/v2/pkg/cmd/release/delete	1.085s
ok  	github.com/cli/cli/v2/pkg/cmd/release/delete-asset	1.084s
ok  	github.com/cli/cli/v2/pkg/cmd/release/download	1.096s
ok  	github.com/cli/cli/v2/pkg/cmd/release/edit	1.096s
ok  	github.com/cli/cli/v2/pkg/cmd/release/list	1.066s
ok  	github.com/cli/cli/v2/pkg/cmd/release/shared	1.083s
ok  	github.com/cli/cli/v2/pkg/cmd/release/upload	1.083s
ok  	github.com/cli/cli/v2/pkg/cmd/release/verify	1.086s
ok  	github.com/cli/cli/v2/pkg/cmd/release/verify-asset	1.134s
ok  	github.com/cli/cli/v2/pkg/cmd/release/view	1.290s
?   	github.com/cli/cli/v2/pkg/cmd/repo	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/archive	1.045s
?   	github.com/cli/cli/v2/pkg/cmd/repo/autolink	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/create	1.031s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/delete	1.043s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/list	1.048s
?   	github.com/cli/cli/v2/pkg/cmd/repo/autolink/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/autolink/view	1.036s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/clone	1.118s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/create	4.169s
?   	github.com/cli/cli/v2/pkg/cmd/repo/credits	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/delete	1.045s
?   	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/add	1.037s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/delete	1.038s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/deploy-key/list	1.041s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/edit	1.070s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/fork	1.103s
?   	github.com/cli/cli/v2/pkg/cmd/repo/garden	[no test files]
?   	github.com/cli/cli/v2/pkg/cmd/repo/gitignore	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/gitignore/list	1.040s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/gitignore/view	1.047s
?   	github.com/cli/cli/v2/pkg/cmd/repo/license	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/repo/license/list	1.051s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/license/view	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/list	1.073s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/rename	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/setdefault	1.069s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/shared	1.022s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/sync	1.070s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/unarchive	1.035s
ok  	github.com/cli/cli/v2/pkg/cmd/repo/view	1.314s
ok  	github.com/cli/cli/v2/pkg/cmd/root	2.382s
?   	github.com/cli/cli/v2/pkg/cmd/ruleset	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/check	1.048s
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/list	1.059s
?   	github.com/cli/cli/v2/pkg/cmd/ruleset/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ruleset/view	1.060s
?   	github.com/cli/cli/v2/pkg/cmd/run	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/run/cancel	1.066s
ok  	github.com/cli/cli/v2/pkg/cmd/run/delete	1.047s
ok  	github.com/cli/cli/v2/pkg/cmd/run/download	1.064s
ok  	github.com/cli/cli/v2/pkg/cmd/run/list	1.169s
ok  	github.com/cli/cli/v2/pkg/cmd/run/rerun	1.084s
ok  	github.com/cli/cli/v2/pkg/cmd/run/shared	1.059s
ok  	github.com/cli/cli/v2/pkg/cmd/run/view	1.543s
ok  	github.com/cli/cli/v2/pkg/cmd/run/watch	1.072s
?   	github.com/cli/cli/v2/pkg/cmd/search	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/search/code	1.069s
ok  	github.com/cli/cli/v2/pkg/cmd/search/commits	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/search/issues	1.054s
ok  	github.com/cli/cli/v2/pkg/cmd/search/prs	1.072s
ok  	github.com/cli/cli/v2/pkg/cmd/search/repos	1.056s
ok  	github.com/cli/cli/v2/pkg/cmd/search/shared	1.045s
?   	github.com/cli/cli/v2/pkg/cmd/secret	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/secret/delete	1.064s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/list	1.119s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/set	1.136s
ok  	github.com/cli/cli/v2/pkg/cmd/secret/shared	1.040s
ok  	github.com/cli/cli/v2/pkg/cmd/send-telemetry	1.067s
ok  	github.com/cli/cli/v2/pkg/cmd/skills	1.257s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/install	1.360s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/preview	1.502s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/publish	1.210s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/search	1.121s
ok  	github.com/cli/cli/v2/pkg/cmd/skills/update	1.118s
?   	github.com/cli/cli/v2/pkg/cmd/ssh-key	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/add	1.053s
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/delete	1.078s
ok  	github.com/cli/cli/v2/pkg/cmd/ssh-key/list	1.060s
?   	github.com/cli/cli/v2/pkg/cmd/ssh-key/shared	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/status	1.244s
?   	github.com/cli/cli/v2/pkg/cmd/variable	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/variable/delete	1.049s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/get	1.087s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/list	1.076s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/set	1.059s
ok  	github.com/cli/cli/v2/pkg/cmd/variable/shared	1.038s
ok  	github.com/cli/cli/v2/pkg/cmd/version	1.040s
?   	github.com/cli/cli/v2/pkg/cmd/workflow	[no test files]
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/disable	1.062s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/enable	1.063s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/list	1.064s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/run	1.095s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/shared	1.064s
ok  	github.com/cli/cli/v2/pkg/cmd/workflow/view	1.316s
ok  	github.com/cli/cli/v2/pkg/cmdutil	1.087s
ok  	github.com/cli/cli/v2/pkg/extensions	1.033s
?   	github.com/cli/cli/v2/pkg/findsh	[no test files]
ok  	github.com/cli/cli/v2/pkg/githubtemplate	1.063s
?   	github.com/cli/cli/v2/pkg/httpmock	[no test files]
ok  	github.com/cli/cli/v2/pkg/iostreams	1.049s
ok  	github.com/cli/cli/v2/pkg/jsoncolor	1.035s
?   	github.com/cli/cli/v2/pkg/jsonfieldstest	[no test files]
?   	github.com/cli/cli/v2/pkg/markdown	[no test files]
ok  	github.com/cli/cli/v2/pkg/option	1.032s
ok  	github.com/cli/cli/v2/pkg/search	1.102s
ok  	github.com/cli/cli/v2/pkg/set	1.026s
?   	github.com/cli/cli/v2/pkg/ssh	[no test files]
ok  	github.com/cli/cli/v2/pkg/surveyext	3.091s
?   	github.com/cli/cli/v2/script	[no test files]
?   	github.com/cli/cli/v2/test	[no test files]
?   	github.com/cli/cli/v2/utils	[no test files]
FAIL
